location,zone,aisle,side,bay,level,x,y,direction
P06-R8-2,forward pick,P06,R,8,2,159,120,
P06-R8-3,forward pick,P06,R,8,3,159,120,
P06-R8-4,forward pick,P06,R,8,4,159,120,
P06-R9-1,forward pick,P06,R,9,1,159,128,
P06-R9-2,forward pick,P06,R,9,2,159,128,
P06-R9-3,forward pick,P06,R,9,3,159,128,
P06-R9-4,forward pick,P06,R,9,4,159,128,
P06-R10-1,forward pick,P06,R,10,1,159,136,
P06-R10-2,forward pick,P06,R,10,2,159,136,
P06-R10-3,forward pick,P06,R,10,3,159,136,
P06-R10-4,forward pick,P06,R,10,4,159,136,
P07-L1-1,forward pick,P07,L,1,1,161,64,
P07-L1-2,forward pick,P07,L,1,2,161,64,
P07-L1-3,forward pick,P07,L,1,3,161,64,
P07-L1-4,forward pick,P07,L,1,4,161,64,
P07-L2-1,forward pick,P07,L,2,1,161,72,
P07-L2-2,forward pick,P07,L,2,2,161,72,
P07-L2-3,forward pick,P07,L,2,3,161,72,
P07-L2-4,forward pick,P07,L,2,4,161,72,
P07-L3-1,forward pick,P07,L,3,1,161,80,
P07-L3-2,forward pick,P07,L,3,2,161,80,
P07-L3-3,forward pick,P07,L,3,3,161,80,
P07-L3-4,forward pick,P07,L,3,4,161,80,
P07-L4-1,forward pick,P07,L,4,1,161,88,
P07-L4-2,forward pick,P07,L,4,2,161,88,
P07-L4-3,forward pick,P07,L,4,3,161,88,
P07-L4-4,forward pick,P07,L,4,4,161,88,
P07-L5-1,forward pick,P07,L,5,1,161,96,
P07-L5-2,forward pick,P07,L,5,2,161,96,
P07-L5-3,forward pick,P07,L,5,3,161,96,
P07-L5-4,forward pick,P07,L,5,4,161,96,
P07-L6-1,forward pick,P07,L,6,1,161,104,
P07-L6-2,forward pick,P07,L,6,2,161,104,
P07-L6-3,forward pick,P07,L,6,3,161,104,
P07-L6-4,forward pick,P07,L,6,4,161,104,
P07-L7-1,forward pick,P07,L,7,1,161,112,
P07-L7-2,forward pick,P07,L,7,2,161,112,
P07-L7-3,forward pick,P07,L,7,3,161,112,
P07-L7-4,forward pick,P07,L,7,4,161,112,
P07-L8-1,forward pick,P07,L,8,1,161,120,
P07-L8-2,forward pick,P07,L,8,2,161,120,
P07-L8-3,forward pick,P07,L,8,3,161,120,
P07-L8-4,forward pick,P07,L,8,4,161,120,
P07-L9-1,forward pick,P07,L,9,1,161,128,
P07-L9-2,forward pick,P07,L,9,2,161,128,
P07-L9-3,forward pick,P07,L,9,3,161,128,
P07-L9-4,forward pick,P07,L,9,4,161,128,
P07-L10-1,forward pick,P07,L,10,1,161,136,
P07-L10-2,forward pick,P07,L,10,2,161,136,
P07-L10-3,forward pick,P07,L,10,3,161,136,
P07-L10-4,forward pick,P07,L,10,4,161,136,
P07-R1-1,forward pick,P07,R,1,1,169,64,
P07-R1-2,forward pick,P07,R,1,2,169,64,
P07-R1-3,forward pick,P07,R,1,3,169,64,
P07-R1-4,forward pick,P07,R,1,4,169,64,
P07-R2-1,forward pick,P07,R,2,1,169,72,
P07-R2-2,forward pick,P07,R,2,2,169,72,
P07-R2-3,forward pick,P07,R,2,3,169,72,
P07-R2-4,forward pick,P07,R,2,4,169,72,
P07-R3-1,forward pick,P07,R,3,1,169,80,
P07-R3-2,forward pick,P07,R,3,2,169,80,
P07-R3-3,forward pick,P07,R,3,3,169,80,
P07-R3-4,forward pick,P07,R,3,4,169,80,
P07-R4-1,forward pick,P07,R,4,1,169,88,
P07-R4-2,forward pick,P07,R,4,2,169,88,
P07-R4-3,forward pick,P07,R,4,3,169,88,
P07-R4-4,forward pick,P07,R,4,4,169,88,
P07-R5-1,forward pick,P07,R,5,1,169,96,
P07-R5-2,forward pick,P07,R,5,2,169,96,
P07-R5-3,forward pick,P07,R,5,3,169,96,
P07-R5-4,forward pick,P07,R,5,4,169,96,
P07-R6-1,forward pick,P07,R,6,1,169,104,
P07-R6-2,forward pick,P07,R,6,2,169,104,
P07-R6-3,forward pick,P07,R,6,3,169,104,
P07-R6-4,forward pick,P07,R,6,4,169,104,
P07-R7-1,forward pick,P07,R,7,1,169,112,
P07-R7-2,forward pick,P07,R,7,2,169,112,
P07-R7-3,forward pick,P07,R,7,3,169,112,
P07-R7-4,forward pick,P07,R,7,4,169,112,
P07-R8-1,forward pick,P07,R,8,1,169,120,
P07-R8-2,forward pick,P07,R,8,2,169,120,
P07-R8-3,forward pick,P07,R,8,3,169,120,
P07-R8-4,forward pick,P07,R,8,4,169,120,
P07-R9-1,forward pick,P07,R,9,1,169,128,
P07-R9-2,forward pick,P07,R,9,2,169,128,
P07-R9-3,forward pick,P07,R,9,3,169,128,
P07-R9-4,forward pick,P07,R,9,4,169,128,
P07-R10-1,forward pick,P07,R,10,1,169,136,
P07-R10-2,forward pick,P07,R,10,2,169,136,
P07-R10-3,forward pick,P07,R,10,3,169,136,
P07-R10-4,forward pick,P07,R,10,4,169,136,
P08-L1-1,forward pick,P08,L,1,1,171,64,
P08-L1-2,forward pick,P08,L,1,2,171,64,
P08-L1-3,forward pick,P08,L,1,3,171,64,
P08-L1-4,forward pick,P08,L,1,4,171,64,
P08-L2-1,forward pick,P08,L,2,1,171,72,
P08-L2-2,forward pick,P08,L,2,2,171,72,
P08-L2-3,forward pick,P08,L,2,3,171,72,
P08-L2-4,forward pick,P08,L,2,4,171,72,
P08-L3-1,forward pick,P08,L,3,1,171,80,
P08-L3-2,forward pick,P08,L,3,2,171,80,
P08-L3-3,forward pick,P08,L,3,3,171,80,
P08-L3-4,forward pick,P08,L,3,4,171,80,
P08-L4-1,forward pick,P08,L,4,1,171,88,
P08-L4-2,forward pick,P08,L,4,2,171,88,
P08-L4-3,forward pick,P08,L,4,3,171,88,
P08-L4-4,forward pick,P08,L,4,4,171,88,
P08-L5-1,forward pick,P08,L,5,1,171,96,
P08-L5-2,forward pick,P08,L,5,2,171,96,
P08-L5-3,forward pick,P08,L,5,3,171,96,
P08-L5-4,forward pick,P08,L,5,4,171,96,
P08-L6-1,forward pick,P08,L,6,1,171,104,
P08-L6-2,forward pick,P08,L,6,2,171,104,
P08-L6-3,forward pick,P08,L,6,3,171,104,
P08-L6-4,forward pick,P08,L,6,4,171,104,
P08-L7-1,forward pick,P08,L,7,1,171,112,
P08-L7-2,forward pick,P08,L,7,2,171,112,
P08-L7-3,forward pick,P08,L,7,3,171,112,
P08-L7-4,forward pick,P08,L,7,4,171,112,
P08-L8-1,forward pick,P08,L,8,1,171,120,
P08-L8-2,forward pick,P08,L,8,2,171,120,
P08-L8-3,forward pick,P08,L,8,3,171,120,
P08-L8-4,forward pick,P08,L,8,4,171,120,
P08-L9-1,forward pick,P08,L,9,1,171,128,
P08-L9-2,forward pick,P08,L,9,2,171,128,
P08-L9-3,forward pick,P08,L,9,3,171,128,
P08-L9-4,forward pick,P08,L,9,4,171,128,
P08-L10-1,forward pick,P08,L,10,1,171,136,
P08-L10-2,forward pick,P08,L,10,2,171,136,
P08-L10-3,forward pick,P08,L,10,3,171,136,
P08-L10-4,forward pick,P08,L,10,4,171,136,
P08-R1-1,forward pick,P08,R,1,1,179,64,
P08-R1-2,forward pick,P08,R,1,2,179,64,
P08-R1-3,forward pick,P08,R,1,3,179,64,
P08-R1-4,forward pick,P08,R,1,4,179,64,
P08-R2-1,forward pick,P08,R,2,1,179,72,
P08-R2-2,forward pick,P08,R,2,2,179,72,
P08-R2-3,forward pick,P08,R,2,3,179,72,
P08-R2-4,forward pick,P08,R,2,4,179,72,
P08-R3-1,forward pick,P08,R,3,1,179,80,
P08-R3-2,forward pick,P08,R,3,2,179,80,
P08-R3-3,forward pick,P08,R,3,3,179,80,
P08-R3-4,forward pick,P08,R,3,4,179,80,
P08-R4-1,forward pick,P08,R,4,1,179,88,
P08-R4-2,forward pick,P08,R,4,2,179,88,
P08-R4-3,forward pick,P08,R,4,3,179,88,
P08-R4-4,forward pick,P08,R,4,4,179,88,
P08-R5-1,forward pick,P08,R,5,1,179,96,
P08-R5-2,forward pick,P08,R,5,2,179,96,
P08-R5-3,forward pick,P08,R,5,3,179,96,
P08-R5-4,forward pick,P08,R,5,4,179,96,
P08-R6-1,forward pick,P08,R,6,1,179,104,
P08-R6-2,forward pick,P08,R,6,2,179,104,
P08-R6-3,forward pick,P08,R,6,3,179,104,
P08-R6-4,forward pick,P08,R,6,4,179,104,
P08-R7-1,forward pick,P08,R,7,1,179,112,
P08-R7-2,forward pick,P08,R,7,2,179,112,
P08-R7-3,forward pick,P08,R,7,3,179,112,
P08-R7-4,forward pick,P08,R,7,4,179,112,
P08-R8-1,forward pick,P08,R,8,1,179,120,
P08-R8-2,forward pick,P08,R,8,2,179,120,
P08-R8-3,forward pick,P08,R,8,3,179,120,
P08-R8-4,forward pick,P08,R,8,4,179,120,
P08-R9-1,forward pick,P08,R,9,1,179,128,
P08-R9-2,forward pick,P08,R,9,2,179,128,
P08-R9-3,forward pick,P08,R,9,3,179,128,
P08-R9-4,forward pick,P08,R,9,4,179,128,
P08-R10-1,forward pick,P08,R,10,1,179,136,
P08-R10-2,forward pick,P08,R,10,2,179,136,
P08-R10-3,forward pick,P08,R,10,3,179,136,
P08-R10-4,forward pick,P08,R,10,4,179,136,
P09-L1-1,forward pick,P09,L,1,1,181,64,
P09-L1-2,forward pick,P09,L,1,2,181,64,
P09-L1-3,forward pick,P09,L,1,3,181,64,
P09-L1-4,forward pick,P09,L,1,4,181,64,
P09-L2-1,forward pick,P09,L,2,1,181,72,
P09-L2-2,forward pick,P09,L,2,2,181,72,
P09-L2-3,forward pick,P09,L,2,3,181,72,
P09-L2-4,forward pick,P09,L,2,4,181,72,
P09-L3-1,forward pick,P09,L,3,1,181,80,
P09-L3-2,forward pick,P09,L,3,2,181,80,
P09-L3-3,forward pick,P09,L,3,3,181,80,
P09-L3-4,forward pick,P09,L,3,4,181,80,
P09-L4-1,forward pick,P09,L,4,1,181,88,
P09-L4-2,forward pick,P09,L,4,2,181,88,
P09-L4-3,forward pick,P09,L,4,3,181,88,
P09-L4-4,forward pick,P09,L,4,4,181,88,
P09-L5-1,forward pick,P09,L,5,1,181,96,
P09-L5-2,forward pick,P09,L,5,2,181,96,
P09-L5-3,forward pick,P09,L,5,3,181,96,
P09-L5-4,forward pick,P09,L,5,4,181,96,
P09-L6-1,forward pick,P09,L,6,1,181,104,
P09-L6-2,forward pick,P09,L,6,2,181,104,
P09-L6-3,forward pick,P09,L,6,3,181,104,
P09-L6-4,forward pick,P09,L,6,4,181,104,
P09-L7-1,forward pick,P09,L,7,1,181,112,
P09-L7-2,forward pick,P09,L,7,2,181,112,
P09-L7-3,forward pick,P09,L,7,3,181,112,
P09-L7-4,forward pick,P09,L,7,4,181,112,
P09-L8-1,forward pick,P09,L,8,1,181,120,
P09-L8-2,forward pick,P09,L,8,2,181,120,
P09-L8-3,forward pick,P09,L,8,3,181,120,
P09-L8-4,forward pick,P09,L,8,4,181,120,
P09-L9-1,forward pick,P09,L,9,1,181,128,
P09-L9-2,forward pick,P09,L,9,2,181,128,
P09-L9-3,forward pick,P09,L,9,3,181,128,
P09-L9-4,forward pick,P09,L,9,4,181,128,
P09-L10-1,forward pick,P09,L,10,1,181,136,
P09-L10-2,forward pick,P09,L,10,2,181,136,
P09-L10-3,forward pick,P09,L,10,3,181,136,
P09-L10-4,forward pick,P09,L,10,4,181,136,
P09-R1-1,forward pick,P09,R,1,1,189,64,
P09-R1-2,forward pick,P09,R,1,2,189,64,
P09-R1-3,forward pick,P09,R,1,3,189,64,
P09-R1-4,forward pick,P09,R,1,4,189,64,
P09-R2-1,forward pick,P09,R,2,1,189,72,
P09-R2-2,forward pick,P09,R,2,2,189,72,
P09-R2-3,forward pick,P09,R,2,3,189,72,
P09-R2-4,forward pick,P09,R,2,4,189,72,
P09-R3-1,forward pick,P09,R,3,1,189,80,
P09-R3-2,forward pick,P09,R,3,2,189,80,
P09-R3-3,forward pick,P09,R,3,3,189,80,
P09-R3-4,forward pick,P09,R,3,4,189,80,
P09-R4-1,forward pick,P09,R,4,1,189,88,
P09-R4-2,forward pick,P09,R,4,2,189,88,
P09-R4-3,forward pick,P09,R,4,3,189,88,
P09-R4-4,forward pick,P09,R,4,4,189,88,
P09-R5-1,forward pick,P09,R,5,1,189,96,
P09-R5-2,forward pick,P09,R,5,2,189,96,
P09-R5-3,forward pick,P09,R,5,3,189,96,
P09-R5-4,forward pick,P09,R,5,4,189,96,
P09-R6-1,forward pick,P09,R,6,1,189,104,
P09-R6-2,forward pick,P09,R,6,2,189,104,
P09-R6-3,forward pick,P09,R,6,3,189,104,
P09-R6-4,forward pick,P09,R,6,4,189,104,
P09-R7-1,forward pick,P09,R,7,1,189,112,
P09-R7-2,forward pick,P09,R,7,2,189,112,
P09-R7-3,forward pick,P09,R,7,3,189,112,
P09-R7-4,forward pick,P09,R,7,4,189,112,
P09-R8-1,forward pick,P09,R,8,1,189,120,
P09-R8-2,forward pick,P09,R,8,2,189,120,
P09-R8-3,forward pick,P09,R,8,3,189,120,
P09-R8-4,forward pick,P09,R,8,4,189,120,
P09-R9-1,forward pick,P09,R,9,1,189,128,
P09-R9-2,forward pick,P09,R,9,2,189,128,
P09-R9-3,forward pick,P09,R,9,3,189,128,
P09-R9-4,forward pick,P09,R,9,4,189,128,
P09-R10-1,forward pick,P09,R,10,1,189,136,
P09-R10-2,forward pick,P09,R,10,2,189,136,
P09-R10-3,forward pick,P09,R,10,3,189,136,
P09-R10-4,forward pick,P09,R,10,4,189,136,
P10-L1-1,forward pick,P10,L,1,1,191,64,
P10-L1-2,forward pick,P10,L,1,2,191,64,
P10-L1-3,forward pick,P10,L,1,3,191,64,
P10-L1-4,forward pick,P10,L,1,4,191,64,
P10-L2-1,forward pick,P10,L,2,1,191,72,
P10-L2-2,forward pick,P10,L,2,2,191,72,
P10-L2-3,forward pick,P10,L,2,3,191,72,
P10-L2-4,forward pick,P10,L,2,4,191,72,
P10-L3-1,forward pick,P10,L,3,1,191,80,
P10-L3-2,forward pick,P10,L,3,2,191,80,
P10-L3-3,forward pick,P10,L,3,3,191,80,
P10-L3-4,forward pick,P10,L,3,4,191,80,
P10-L4-1,forward pick,P10,L,4,1,191,88,
P10-L4-2,forward pick,P10,L,4,2,191,88,
P10-L4-3,forward pick,P10,L,4,3,191,88,
P10-L4-4,forward pick,P10,L,4,4,191,88,
P10-L5-1,forward pick,P10,L,5,1,191,96,
P10-L5-2,forward pick,P10,L,5,2,191,96,
P10-L5-3,forward pick,P10,L,5,3,191,96,
P10-L5-4,forward pick,P10,L,5,4,191,96,
P10-L6-1,forward pick,P10,L,6,1,191,104,
P10-L6-2,forward pick,P10,L,6,2,191,104,
P10-L6-3,forward pick,P10,L,6,3,191,104,
P10-L6-4,forward pick,P10,L,6,4,191,104,
P10-L7-1,forward pick,P10,L,7,1,191,112,
P10-L7-2,forward pick,P10,L,7,2,191,112,
P10-L7-3,forward pick,P10,L,7,3,191,112,
P10-L7-4,forward pick,P10,L,7,4,191,112,
P10-L8-1,forward pick,P10,L,8,1,191,120,
P10-L8-2,forward pick,P10,L,8,2,191,120,
P10-L8-3,forward pick,P10,L,8,3,191,120,
P10-L8-4,forward pick,P10,L,8,4,191,120,
P10-L9-1,forward pick,P10,L,9,1,191,128,
P10-L9-2,forward pick,P10,L,9,2,191,128,
P10-L9-3,forward pick,P10,L,9,3,191,128,
P10-L9-4,forward pick,P10,L,9,4,191,128,
P10-L10-1,forward pick,P10,L,10,1,191,136,
P10-L10-2,forward pick,P10,L,10,2,191,136,
P10-L10-3,forward pick,P10,L,10,3,191,136,
P10-L10-4,forward pick,P10,L,10,4,191,136,
P10-R1-1,forward pick,P10,R,1,1,199,64,
P10-R1-2,forward pick,P10,R,1,2,199,64,
P10-R1-3,forward pick,P10,R,1,3,199,64,
P10-R1-4,forward pick,P10,R,1,4,199,64,
P10-R2-1,forward pick,P10,R,2,1,199,72,
P10-R2-2,forward pick,P10,R,2,2,199,72,
P10-R2-3,forward pick,P10,R,2,3,199,72,
P10-R2-4,forward pick,P10,R,2,4,199,72,
P10-R3-1,forward pick,P10,R,3,1,199,80,
P10-R3-2,forward pick,P10,R,3,2,199,80,
P10-R3-3,forward pick,P10,R,3,3,199,80,
P10-R3-4,forward pick,P10,R,3,4,199,80,
P10-R4-1,forward pick,P10,R,4,1,199,88,
P10-R4-2,forward pick,P10,R,4,2,199,88,
P10-R4-3,forward pick,P10,R,4,3,199,88,
P10-R4-4,forward pick,P10,R,4,4,199,88,
P10-R5-1,forward pick,P10,R,5,1,199,96,
P10-R5-2,forward pick,P10,R,5,2,199,96,
P10-R5-3,forward pick,P10,R,5,3,199,96,
P10-R5-4,forward pick,P10,R,5,4,199,96,
P10-R6-1,forward pick,P10,R,6,1,199,104,
P10-R6-2,forward pick,P10,R,6,2,199,104,
P10-R6-3,forward pick,P10,R,6,3,199,104,
P10-R6-4,forward pick,P10,R,6,4,199,104,
P10-R7-1,forward pick,P10,R,7,1,199,112,
P10-R7-2,forward pick,P10,R,7,2,199,112,
P10-R7-3,forward pick,P10,R,7,3,199,112,
P10-R7-4,forward pick,P10,R,7,4,199,112,
P10-R8-1,forward pick,P10,R,8,1,199,120,
P10-R8-2,forward pick,P10,R,8,2,199,120,
P10-R8-3,forward pick,P10,R,8,3,199,120,
P10-R8-4,forward pick,P10,R,8,4,199,120,
P10-R9-1,forward pick,P10,R,9,1,199,128,
P10-R9-2,forward pick,P10,R,9,2,199,128,
P10-R9-3,forward pick,P10,R,9,3,199,128,
P10-R9-4,forward pick,P10,R,9,4,199,128,
P10-R10-1,forward pick,P10,R,10,1,199,136,
P10-R10-2,forward pick,P10,R,10,2,199,136,
P10-R10-3,forward pick,P10,R,10,3,199,136,
P10-R10-4,forward pick,P10,R,10,4,199,136,
R11-R1-1,pallet reserve,R11,R,1,1,22,64.5,
R11-R1-2,pallet reserve,R11,R,1,2,22,64.5,
R11-R1-3,pallet reserve,R11,R,1,3,22,64.5,
R11-R1-4,pallet reserve,R11,R,1,4,22,64.5,
R11-R2-1,pallet reserve,R11,R,2,1,22,73.5,
R11-R2-2,pallet reserve,R11,R,2,2,22,73.5,
R11-R2-3,pallet reserve,R11,R,2,3,22,73.5,
R11-R2-4,pallet reserve,R11,R,2,4,22,73.5,
R11-R3-1,pallet reserve,R11,R,3,1,22,82.5,
R11-R3-2,pallet reserve,R11,R,3,2,22,82.5,
R11-R3-3,pallet reserve,R11,R,3,3,22,82.5,
R11-R3-4,pallet reserve,R11,R,3,4,22,82.5,
R11-R4-1,pallet reserve,R11,R,4,1,22,91.5,
R11-R4-2,pallet reserve,R11,R,4,2,22,91.5,
R11-R4-3,pallet reserve,R11,R,4,3,22,91.5,
R11-R4-4,pallet reserve,R11,R,4,4,22,91.5,
R11-R5-1,pallet reserve,R11,R,5,1,22,100.5,
R11-R5-2,pallet reserve,R11,R,5,2,22,100.5,
R11-R5-3,pallet reserve,R11,R,5,3,22,100.5,
R11-R5-4,pallet reserve,R11,R,5,4,22,100.5,
R11-R6-1,pallet reserve,R11,R,6,1,22,109.5,
R11-R6-2,pallet reserve,R11,R,6,2,22,109.5,
R11-R6-3,pallet reserve,R11,R,6,3,22,109.5,
R11-R6-4,pallet reserve,R11,R,6,4,22,109.5,
R11-R7-1,pallet reserve,R11,R,7,1,22,118.5,
R11-R7-2,pallet reserve,R11,R,7,2,22,118.5,
R11-R7-3,pallet reserve,R11,R,7,3,22,118.5,
R11-R7-4,pallet reserve,R11,R,7,4,22,118.5,
R11-R8-1,pallet reserve,R11,R,8,1,22,127.5,
R11-R8-2,pallet reserve,R11,R,8,2,22,127.5,
R11-R8-3,pallet reserve,R11,R,8,3,22,127.5,
R11-R8-4,pallet reserve,R11,R,8,4,22,127.5,
R11-R9-1,pallet reserve,R11,R,9,1,22,136.5,
R11-R9-2,pallet reserve,R11,R,9,2,22,136.5,
R11-R9-3,pallet reserve,R11,R,9,3,22,136.5,
R11-R9-4,pallet reserve,R11,R,9,4,22,136.5,
R11-R10-1,pallet reserve,R11,R,10,1,22,145.5,
R11-R10-2,pallet reserve,R11,R,10,2,22,145.5,
R11-R10-3,pallet reserve,R11,R,10,3,22,145.5,
R11-R10-4,pallet reserve,R11,R,10,4,22,145.5,
R12-L1-1,pallet reserve,R12,L,1,1,102,64.5,
R12-L1-2,pallet reserve,R12,L,1,2,102,64.5,
R12-L1-3,pallet reserve,R12,L,1,3,102,64.5,
R12-L1-4,pallet reserve,R12,L,1,4,102,64.5,
R12-L2-1,pallet reserve,R12,L,2,1,102,73.5,
R12-L2-2,pallet reserve,R12,L,2,2,102,73.5,
R12-L2-3,pallet reserve,R12,L,2,3,102,73.5,
R12-L2-4,pallet reserve,R12,L,2,4,102,73.5,
R12-L3-1,pallet reserve,R12,L,3,1,102,82.5,
R12-L3-2,pallet reserve,R12,L,3,2,102,82.5,
R12-L3-3,pallet reserve,R12,L,3,3,102,82.5,
R12-L3-4,pallet reserve,R12,L,3,4,102,82.5,
R12-L4-1,pallet reserve,R12,L,4,1,102,91.5,
R12-L4-2,pallet reserve,R12,L,4,2,102,91.5,
R12-L4-3,pallet reserve,R12,L,4,3,102,91.5,
R12-L4-4,pallet reserve,R12,L,4,4,102,91.5,
R12-L5-1,pallet reserve,R12,L,5,1,102,100.5,
R12-L5-2,pallet reserve,R12,L,5,2,102,100.5,
R12-L5-3,pallet reserve,R12,L,5,3,102,100.5,
R12-L5-4,pallet reserve,R12,L,5,4,102,100.5,
R12-L6-1,pallet reserve,R12,L,6,1,102,109.5,
R12-L6-2,pallet reserve,R12,L,6,2,102,109.5,
R12-L6-3,pallet reserve,R12,L,6,3,102,109.5,
R12-L6-4,pallet reserve,R12,L,6,4,102,109.5,
R12-L7-1,pallet reserve,R12,L,7,1,102,118.5,
R12-L7-2,pallet reserve,R12,L,7,2,102,118.5,
R12-L7-3,pallet reserve,R12,L,7,3,102,118.5,
R12-L7-4,pallet reserve,R12,L,7,4,102,118.5,
R12-L8-1,pallet reserve,R12,L,8,1,102,127.5,
R12-L8-2,pallet reserve,R12,L,8,2,102,127.5,
R12-L8-3,pallet reserve,R12,L,8,3,102,127.5,
R12-L8-4,pallet reserve,R12,L,8,4,102,127.5,
R12-L9-1,pallet reserve,R12,L,9,1,102,136.5,
R12-L9-2,pallet reserve,R12,L,9,2,102,136.5,
R12-L9-3,pallet reserve,R12,L,9,3,102,136.5,
R12-L9-4,pallet reserve,R12,L,9,4,102,136.5,
R12-L10-1,pallet reserve,R12,L,10,1,102,145.5,
R12-L10-2,pallet reserve,R12,L,10,2,102,145.5,
R12-L10-3,pallet reserve,R12,L,10,3,102,145.5,
R12-L10-4,pallet reserve,R12,L,10,4,102,145.5,
D1,dock door,,,,,30,0,inbound
D2,dock door,,,,,45,0,inbound
D3,dock door,,,,,60,0,inbound
D4,dock door,,,,,75,0,inbound
D5,dock door,,,,,150,0,outbound
D6,dock door,,,,,170,0,outbound
D7,dock door,,,,,190,0,outbound
D8,dock door,,,,,210,0,outbound
